FMAP_INNB,VDPT_YR,PNU_LNM_CD,LGL_EMD_CD,LGL_EMD_NM,CHG_CFCD,CHG_CFNM,LNM,INTPR_CD,INTPR_NM,INVD_CFCD,INVD_CFNM,ITPINP_DE,RNHST_CD,RNHST_NM,MAPDMC_NO,ND_mean
"08391832","2020","4521032026109370001","45210320",죽산면,"01",유지,937-1답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",46.2676621091132
"08391660","2020","4521032026109360010","45210320",죽산면,"01",유지,936-10답,"01",논,"03",드론영상,"20201218",,,"35604093",8.15788547694683
"08391695","2020","4521032026109360009","45210320",죽산면,"01",유지,936-9답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",24.1366894346602
"08391712","2020","4521032026109360008","45210320",죽산면,"01",유지,936-8답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",64.4801123872095
"08391735","2020","4521032026109360007","45210320",죽산면,"01",유지,936-7답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",60.2829847919698
"08391753","2020","4521032026109360006","45210320",죽산면,"01",유지,936-6답,"01",논,"03",드론영상,"20201218",,,"35604093",65.2829569797127
"08391768","2020","4521032026109360005","45210320",죽산면,"01",유지,936-5답,"01",논,"03",드론영상,"20201218",,,"35604093",64.0239405441284
"08391785","2020","4521032026109360004","45210320",죽산면,"01",유지,936-4답,"01",논,"03",드론영상,"20201218",,,"35604093",64.8077818422901
"08391798","2020","4521032026109360003","45210320",죽산면,"01",유지,936-3답,"01",논,"03",드론영상,"20201218",,,"35604093",59.8175549409827
"08391813","2020","4521032026109360002","45210320",죽산면,"01",유지,936-2답,"01",논,"03",드론영상,"20201218",,,"35604093",59.926850716273
"08391820","2020","4521032026109360001","45210320",죽산면,"01",유지,936-1답,"01",논,"03",드론영상,"20201218",,,"35604093",40.9887020658044
"08391614","2020","4521032026109350011","45210320",죽산면,"01",유지,935-11답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",54.0657515361391
"08391632","2020","4521032026109350010","45210320",죽산면,"01",유지,935-10답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",62.2310544228067
"08391654","2020","4521032026109350009","45210320",죽산면,"01",유지,935-9답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",61.5671323278676
"08391663","2020","4521032026109350008","45210320",죽산면,"01",유지,935-8답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",23.2124672730764
"08391677","2020","4521032026109350007","45210320",죽산면,"01",유지,935-7답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",19.5379688453674
"08391699","2020","4521032026109350006","45210320",죽산면,"01",유지,935-6답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",36.7770570832856
"08391721","2020","4521032026109350005","45210320",죽산면,"01",유지,935-5답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",65.654318968455
"08391744","2020","4521032026109350004","45210320",죽산면,"01",유지,935-4답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",55.6768090287033
"08391761","2020","4521032026109350003","45210320",죽산면,"01",유지,935-3답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",46.6675887412213
"08391777","2020","4521032026109350002","45210320",죽산면,"01",유지,935-2답,"01",논,"03",드론영상,"20201218",,,"35604093",44.6751907322858
